responsible	-0.020470263352602595
training	-0.019076986210144718
management	-0.018795251310089675
staff	-0.018471566563729162
sales	-0.01777832420012951
new	-0.015428382069711505
support	-0.015266747693400452
managed	-0.015010511472114784
program	-0.014513806501097695
development	-0.013775761342847312
including	-0.013551209910302264
equipment	-0.012957320832726597
employees	-0.012894372148217929
reports	-0.012794434083254917
operations	-0.012685812629043145
business	-0.012580435667263459
duties	-0.012463894961707737
systems	-0.011682689962089049
personnel	-0.011507785390085528
programs	-0.011217828615359733
accounts	-0.01084916426425427
provided	-0.0105176944539997
ensure	-0.010457902415977157
services	-0.01045746735237458
maintenance	-0.010261637189400225
procedures	-0.01020955748927847
compliance	-0.009655069998447827
developed	-0.009468263892493662
maintained	-0.00944509113698928
department	-0.009414080824926433
supervised	-0.008982546810992517
quality	-0.0088815287950472
service	-0.008694517612241125
manage	-0.008631227365554892
included	-0.008629003554012778
process	-0.008599312515335224
production	-0.008598869573014646
product	-0.008507320340778638
provide	-0.008396556081666838
office	-0.008385376861931785
daily	-0.00828844775741797
monthly	-0.008204910624170897
coordinated	-0.008198668773024746
projects	-0.00817047579617102
payroll	-0.00816280119790767
clients	-0.008086088800292714
include	-0.007860229514164308
control	-0.007810522116257136
security	-0.007762017569777598
team	-0.007593177118385239
maintain	-0.0075112171533406845
review	-0.007445590962939999
inventory	-0.007419114489901157
company	-0.007378821984702022
budget	-0.0073604645771847225
materials	-0.0072937119652029345
repair	-0.007195618291345067
employee	-0.007166513300769129
scheduling	-0.007166497430029696
technical	-0.007150243533281208
related	-0.007062617460362657
various	-0.006963544535114311
annual	-0.006963334029403968
corporate	-0.006958215091698276
special	-0.006940642669323732
client	-0.006900949050985313
implemented	-0.006852475057535149
requirements	-0.006762788118014708
customer	-0.0067446591922625115
policies	-0.006727333516362196
marketing	-0.006722874178115937
meetings	-0.006700657082200992
performance	-0.006686917413352593
implementation	-0.006660426347869871
supplies	-0.006649961690604742
planning	-0.0064195718736911956
coordinate	-0.00640624598511911
travel	-0.006348281742925527
state	-0.006337228242046277
trained	-0.006247114383651653
plan	-0.006240158354672464
administrative	-0.006215131098700822
issues	-0.006168584004697745
develop	-0.00613011544564044
reporting	-0.006103989833750809
medical	-0.0060812449568620405
internal	-0.006073353401378627
contracts	-0.006051645128155789
operation	-0.005938970992663533
health	-0.005894492684248609
prepared	-0.005873648435366188
plans	-0.005860651056796732
needed	-0.005857079436569112
financial	-0.00580389409120444
students	-0.005789526987023393
lead	-0.005787455051539066
education	-0.005728296504682683
needs	-0.005714029492388363
direct	-0.005711509656430821
regulations	-0.0056364021149834425
